"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI) [5],Total income Amount
06106,"$75,000 under $100,000",650,55111,55422
06106,"$100,000 under $200,000",420,54097,54680
06106,"$200,000 or more",60,18313,18313
,,,,
06107,,"9,660","1,505,776","1,537,616"
06107,"$1 under $25,000",1880,18212,18779
06107,"$25,000 under $50,000",1060,39965,41082
06107,"$50,000 under $75,000",1130,70618,71912
06107,"$75,000 under $100,000",1010,88051,89633
06107,"$100,000 under $200,000",2590,372249,379886
06107,"$200,000 or more",1990,916681,936324
,,,,
06108,,"11,890","482,439","486,553"
06108,"$1 under $25,000",4820,64002,64730
06108,"$25,000 under $50,000",3860,138198,139326
06108,"$50,000 under $75,000",1680,102299,102963
06108,"$75,000 under $100,000",760,65292,65785
06108,"$100,000 under $200,000",690,88157,88657
06108,"$200,000 or more",80,24491,25092
,,,,
06109,,"14,150","1,176,728","1,194,937"
06109,"$1 under $25,000",3600,42032,42808
06109,"$25,000 under $50,000",2610,97012,98351
06109,"$50,000 under $75,000",2310,143142,145284
06109,"$75,000 under $100,000",1660,143934,145666
06109,"$100,000 under $200,000",3070,423168,428131
06109,"$200,000 or more",900,327440,334697
,,,,
06110,,"6,650","400,002","405,523"
06110,"$1 under $25,000",2100,26360,26849
06110,"$25,000 under $50,000",1590,58012,58860
06110,"$50,000 under $75,000",1160,71411,72274
06110,"$75,000 under $100,000",710,60770,61358
06110,"$100,000 under $200,000",910,120936,122100
06110,"$200,000 or more",180,62513,64082
,,,,
06111,,"16,330","1,135,535","1,150,578"
06111,"$1 under $25,000",4240,51387,52447
06111,"$25,000 under $50,000",3360,125300,127373
06111,"$50,000 under $75,000",2840,175593,177726
06111,"$75,000 under $100,000",2120,184807,186619
06111,"$100,000 under $200,000",3220,432960,437373
06111,"$200,000 or more",550,165488,169040
,,,,
06112,,"9,720","292,656","294,435"
06112,"$1 under $25,000",5080,64914,65495
06112,"$25,000 under $50,000",3050,107370,107905
06112,"$50,000 under $75,000",1030,62066,62417
06112,"$75,000 under $100,000",350,29963,30141
06112,"$100,000 under $200,000",210,28343,28477
06112,"$200,000 or more",**,**,**
,,,,
06114,,"11,680","366,826","369,011"
06114,"$1 under $25,000",5950,78327,79018
06114,"$25,000 under $50,000",3690,130275,130870
06114,"$50,000 under $75,000",1270,76540,76927
06114,"$75,000 under $100,000",460,39496,39725
06114,"$100,000 under $200,000",290,36605,36888
06114,"$200,000 or more",20,5583,5583
,,,,
06117,,"7,230","1,324,363","1,353,442"
06117,"$1 under $25,000",1650,15856,16328
06117,"$25,000 under $50,000",790,28992,29837
06117,"$50,000 under $75,000",710,44176,45057
06117,"$75,000 under $100,000",680,58773,59910
06117,"$100,000 under $200,000",1710,245184,249689
06117,"$200,000 or more",1690,931382,952621
,,,,
06118,,"14,000","700,382","706,365"
06118,"$1 under $25,000",4720,60965,61699
06118,"$25,000 under $50,000",3930,143637,144984
06118,"$50,000 under $75,000",2370,145224,146369
06118,"$75,000 under $100,000",1350,116558,117310
06118,"$100,000 under $200,000",1480,192511,193916
06118,"$200,000 or more",150,41487,42087
,,,,
06119,,"7,320","664,533","677,230"
06119,"$1 under $25,000",1910,22663,23186
06119,"$25,000 under $50,000",1450,54271,55336
06119,"$50,000 under $75,000",1230,75683,76814
06119,"$75,000 under $100,000",800,68911,69763
06119,"$100,000 under $200,000",1250,173780,176344
06119,"$200,000 or more",680,269225,275787
,,,,
06120,,"4,810","118,594","119,355"
06120,"$1 under $25,000",3000,37407,37792
06120,"$25,000 under $50,000",1340,46751,46996
06120,"$50,000 under $75,000",320,19265,19354
06120,"$75,000 under $100,000",90,7800,7842
06120,"$100,000 under $200,000",60,7371,7371
06120,"$200,000 or more",**,**,**
,,,,
06226,,"7,080","254,009","256,305"
06226,"$1 under $25,000",3310,43961,44328
06226,"$25,000 under $50,000",2260,79439,79861
06226,"$50,000 under $75,000",770,46807,47323
06226,"$75,000 under $100,000",370,32108,32389
06226,"$100,000 under $200,000",340,43528,44238
06226,"$200,000 or more",30,8166,8166
,,,,
06231,,"1,890","185,014","188,005"
06231,"$1 under $25,000",450,4936,5048
06231,"$25,000 under $50,000",280,10318,10511
06231,"$50,000 under $75,000",240,15258,15522
06231,"$75,000 under $100,000",200,17747,18031
06231,"$100,000 under $200,000",540,75181,75948
06231,"$200,000 or more",180,61574,62945
,,,,
06232,,"1,640","136,180","138,729"
06232,"$1 under $25,000",420,4716,4796
06232,"$25,000 under $50,000",280,10224,10375
06232,"$50,000 under $75,000",240,15221,15540
06232,"$75,000 under $100,000",200,17656,17864
06232,"$100,000 under $200,000",400,55701,56683
06232,"$200,000 or more",100,32662,33471
,,,,
06234,,"3,890","256,920","260,555"
06234,"$1 under $25,000",1160,13816,13996
06234,"$25,000 under $50,000",850,31155,31602
06234,"$50,000 under $75,000",600,36920,37391
06234,"$75,000 under $100,000",440,37792,38244
06234,"$100,000 under $200,000",720,96666,98048
06234,"$200,000 or more",120,40571,41274
,,,,
06235,,"1,120","65,494","66,348"
06235,"$1 under $25,000",330,3977,4064
06235,"$25,000 under $50,000",270,9776,9967
06235,"$50,000 under $75,000",200,12148,12331
06235,"$75,000 under $100,000",120,10187,10300
06235,"$100,000 under $200,000",180,23225,23505
06235,"$200,000 or more",20,6181,6181
,,,,
06237,,"2,800","237,616","241,318"
06237,"$1 under $25,000",630,7367,7599
06237,"$25,000 under $50,000",480,18072,18576
06237,"$50,000 under $75,000",420,25669,26054
06237,"$75,000 under $100,000",380,32844,33244
06237,"$100,000 under $200,000",710,97360,98485
06237,"$200,000 or more",180,56304,57360
,,,,
06238,,"6,320","498,915","506,939"
06238,"$1 under $25,000",1540,18148,18452
06238,"$25,000 under $50,000",1170,43704,44498
06238,"$50,000 under $75,000",970,60218,61134
06238,"$75,000 under $100,000",790,68332,69325
06238,"$100,000 under $200,000",1510,206224,208834
06238,"$200,000 or more",340,102289,104696
,,,,
06239,,"5,230","272,346","275,130"
06239,"$1 under $25,000",1690,22018,22220
06239,"$25,000 under $50,000",1530,55103,55536
06239,"$50,000 under $75,000",840,51714,52177
06239,"$75,000 under $100,000",500,42843,43180
06239,"$100,000 under $200,000",600,78848,79546
06239,"$200,000 or more",70,21820,22471
,,,,
06241,,"3,160","194,243","196,808"
06241,"$1 under $25,000",940,12464,12590
06241,"$25,000 under $50,000",800,29552,29914
06241,"$50,000 under $75,000",530,32827,33212
06241,"$75,000 under $100,000",370,32267,32539
06241,"$100,000 under $200,000",460,60396,61161
06241,"$200,000 or more",60,26737,27392
,,,,
06242,,720,"52,738","53,349"
06242,"$1 under $25,000",170,1976,2083
06242,"$25,000 under $50,000",150,5453,5555
06242,"$50,000 under $75,000",120,7287,7398
06242,"$75,000 under $100,000",100,8400,8485
06242,"$100,000 under $200,000",150,19607,19813
06242,"$200,000 or more",30,10015,10015
,,,,
06243,,140,"7,806","7,891"
06243,"$1 under $25,000",40,526,526
06243,"$25,000 under $50,000",40,1375,1375
06243,"$50,000 under $75,000",20,1308,1393
06243,"$75,000 under $100,000",20,1673,1673
06243,"$100,000 under $200,000",20,2924,2924
06243,"$200,000 or more",**,**,**
,,,,
06247,,"1,230","83,961","85,392"
06247,"$1 under $25,000",330,4143,4214
06247,"$25,000 under $50,000",230,8517,8675
06247,"$50,000 under $75,000",220,13544,13770
06247,"$75,000 under $100,000",180,15722,15941
06247,"$100,000 under $200,000",230,30804,31561
06247,"$200,000 or more",40,11231,11231
,,,,
06248,,"2,770","277,604","281,626"
06248,"$1 under $25,000",720,7167,7340
06248,"$25,000 under $50,000",420,15369,15655
06248,"$50,000 under $75,000",310,19461,19884
06248,"$75,000 under $100,000",270,23474,23857
06248,"$100,000 under $200,000",730,101812,103438
06248,"$200,000 or more",320,110321,111452
,,,,
06249,,"3,620","265,531","269,804"
06249,"$1 under $25,000",960,11438,11669
06249,"$25,000 under $50,000",660,24588,25102
06249,"$50,000 under $75,000",570,35359,36166
06249,"$75,000 under $100,000",490,42322,42836
06249,"$100,000 under $200,000",790,108449,109732
06249,"$200,000 or more",150,43375,44299
,,,,
06250,,"2,370","181,135","184,478"
06250,"$1 under $25,000",650,7570,7725
06250,"$25,000 under $50,000",440,16029,16372
06250,"$50,000 under $75,000",360,22675,23008
06250,"$75,000 under $100,000",300,26203,26598
06250,"$100,000 under $200,000",500,68773,69633
06250,"$200,000 or more",120,39885,41142
,,,,
06254,,960,"71,576","72,696"
06254,"$1 under $25,000",250,2984,3043
06254,"$25,000 under $50,000",190,7116,7215
06254,"$50,000 under $75,000",150,9654,9743
06254,"$75,000 under $100,000",130,11280,11469
06254,"$100,000 under $200,000",200,26940,27624
06254,"$200,000 or more",40,13602,13602
,,,,
06255,,"2,180","127,777","129,134"
06255,"$1 under $25,000",600,7667,7798
06255,"$25,000 under $50,000",550,20278,20539
06255,"$50,000 under $75,000",400,24621,24819
06255,"$75,000 under $100,000",260,22291,22446
06255,"$100,000 under $200,000",340,44588,45200
06255,"$200,000 or more",30,8332,8332
,,,,
06256,,"1,150","57,795","58,350"
06256,"$1 under $25,000",360,4756,4821
